,ID,WHCYYQMC,YQDZ,GK,DH
13480785187
7,8a524809639011d40163913e63850068,深圳市楼尚文化创意产业园,深圳市罗湖区笋岗展艺路38号（803栋）,楼尚文化创意产业园成立于2010年7月，位于深圳市罗湖区宝安北路笋岗仓库803栋笋岗工艺美术集聚区内。经过不断的创新推广，园区现有十多家非物质文化遗产单位及著名创意设计师工作室入驻，涵盖了楼尚软装体验馆、楼上廔设计基地、文创中心、媒体接待中心、罗湖区悠图书馆？设计师图书馆、设计师开放式工作区、工艺品研发中心、十二境书院、禅居生活体验馆，一角禅微茶馆及快乐陶艺吧等十多个服务项目，力图将最鲜活、最流行的创意能量融入到文化园区。,13418662741
17688893099
8,8a524809639011d40163913e63850069,深圳市非遗文化创意产业园,深圳市罗湖区梧桐山赤水洞村94号, ,15889655829
9,8a524809639011d40163913e6385006a,明珠艺成（深圳市文化+旅游）示范园区,罗湖区梨园路142号,明珠艺成经营面积计2万余平方米， 共五层，整个经营布局分为：一、二楼是以创意设计为主的家居饰品工艺精品城，三、四、五楼是以品牌古典红木家具为主的精品城。涵盖古典中式家具、创意家居饰品、名人陶瓷、名人字画、配套中式奢侈品等。明珠艺成拥有代表中国传统红木家具最高水准的伍氏兴隆、大观园、华盛、顺天府、雅香阁、深发红木等大批国内知名古典家具品牌。,13424421131
13823286233
10,8a524809639011d40163913e6385006b,深圳出版发行集团,深圳市罗湖区深南东路5033号金山大厦七楼,深圳出版发行集团于2007年11月20日正式挂牌，由原深圳发行集团和海天出版社整合组建而成，是国内第一家真正融合出版发行业上下游资源于一体的企业实体。原深圳发行集团于2004年6月22日成立，是深圳市政府为适应加入WTO后我国出版物发行市场形势的发展，根据深圳文化体制改革的总体部署，以深圳市新华书店为基础组建的国有企业，与深圳报业集团、深圳广电集团共同构成深圳三大文化产业集团，并于2005年被确定为深圳市首批9个文化产业示范基地之一。,13543345576
11,8a524809639011d40163913e6385006c,深圳广播电影电视集团,深圳市福田区鹏程一路1号,深圳广播电影电视集团现有12个电视频道、5套广播频率和20余家产业经营企业，业务范围涵盖广告、网络传输与服务、影视内容、新媒体、电视购物、文化会展等。其中，深圳卫视自2004年5月28日上星以来，呈现快速发展势头，目前已稳居全国省级卫视收视前十方阵。天威视讯（股票代码002238）于2008年成功上市，目前共拥有有线电视用户终端数超过110万个(2014年半年报数据)，市值最高时超过70亿元。城市联合网络电视台（CUTV）由集团联合全国70多家城市媒体共同成立，是中国最大的城市广电内容聚合和新媒体传播平台。,18718560351
12,8a524809639011d40163913e63850038,深圳F518时尚创意园,深圳市宝安区宝源路1065号F518创意园·创展中心一楼,深圳F518创意园（以下简称“F518”）是深圳创意投资集团投资运营的第一个文化产业载体项目，是深圳市、宝安区“十一？五”规划的重点文化产业项目，是宝安区旧工业园升级改造的示范项目。F518于2006年5月18日立项，2007年12月7日正式开园。总投资3.5亿元，占地6万平方米，总建筑面积14万平方米，分为创意前岸、动漫游戏社区、创展中心、深圳-爱丁堡国际创意孵化中心、创意101国际孵化器、品位街及前岸国际酒店等主题区，并建有公寓、停车场等配套区。,13826500753
13,8a524809639011d40163913e63850039,雅昌文化（集团）有限公司,广东省深圳市南山区深云路19号, ,13706217083
14,8a524809639011d40163913e6385003a,华强方特文化科技集团股份有限公司,广东省深圳市南山区
科研路16号华强高新发展大楼, ,13823350515
15,8a524809639011d40163913e6385003b,腾讯计算机系统有限公司,广东省深圳市南山区
深南大道10000号, ,18923885728
16,8a524809639011d40163913e6385003c,大芬油画村,深圳市龙岗区布吉街道大芬油画村,大芬油画村位于布吉街道大芬社区，核心区域面积约0.4平方公里。上世纪80年代末，油画这一特色文化产业在这里自发萌芽、发展，2000年以来经过市、区政府的精心打造，大芬油画产业得到快速发展。据统计，大芬油画村现有40多家规模相对较大的油画经营公司，1200多家画廊、工作室以及画框、画布、颜料等绘画材料门店，居住在大芬村内的画家、画工8000多人。形成了以油画为主附带书画、刺绣、雕塑艺术品及其它工艺品经营，上下游产业链条较为完善的文化产业基地，是全球重要的商品油画集散地。大芬油画村是深圳市首批和龙岗区首个“国家文化产业示范基地”，也是深圳文博会分会场的开创者和分会场举办纪录的保持者。,13728701991
17,8a524809639011d40163913e6385003d,中国丝绸文化产业创意园,龙岗区南岭村南新路10号三楼,中国丝绸文化产业创意园（简称中丝园）位于深圳市龙岗区素有“中国第一村”之称的南岭村, 是国家文化产业示范基地，项目占地面积3.6万平方米，建筑面积4.2万平方米。　　中丝园以传承和弘扬丝绸文化为宗旨，集创意设计、科研创新、展示交易、旅游休闲、情景购物、青少年素质教育、互动体验等功能为一体，连续多年成为深圳文博会分会场。中丝园自筹建以来得到了文化部、商务部、中国丝绸协会、中国工艺美术学会、苏州大学、中国美院、浙江理工大学、中山大学、行业专家学者以及全国广大丝绸纺织品牌企业的大力支持和积极响应，正逐步成为中国首席丝绸文化服务平台和中国高端丝绸商务礼品定制交易平台。,15012846618
18,8a524809639011d40163913e6385003e,中国？观澜版画原创产业基地,龙华区观澜牛湖裕新路169号大水田版画基地,深圳观澜版画原创基地是在原深圳龙华客家村落的基础上改扩建而成，位于中国新兴木刻运动的先驱者、著名版画家、美术理论家陈烟桥的故乡—深圳市宝安龙华新区观澜街道牛湖社区，总规划面积达140万平方米，其中中心区面积31.6万平方米。版画村和客家古村落融合，将客家文化主题目融合到现代景观元素中。建立相对完善的市场化动作机制，是一个配套设施完善、环境优美、具有良好社会、经济效益的国家级文化产业示范基地。它把现代版画工坊与客家古村落结合起来，形成了别具特色的文化元素，也给艺术家的创作提供了思想的源泉。,18124563785
19,8a524809639011d40163913e6385003f,国瓷永丰源,龙华区观澜环观南路永丰源工业区, ,18813988091
20,8a524809639011d40163913e63850040,深圳古玩城,深圳市罗湖区新秀路168号,深圳古玩城现为国家文化产业示范基地，始创于2002年，是深圳经政府批准的文物监管物品文化专业市场。其占地面积45万平方米，商业建筑面积8万平方米，现有各类专业展馆、经营场馆3000多间，其中包括来自两岸四地在内的古玩商2000多家、茶商800家、以及原创画廊70多家。已形成以玉器、陶瓷、普洱茶和中国书画为主，包括各种古玩杂件、珠宝、民间艺术品、民族工艺品等几千个品种的文化专业市场。深圳古玩城与北京古玩城、上海古玩城形成了三足鼎立之势。成为政界、商人、学者、收藏家、媒体和市民公认的海外文物回流基地和白玉集散地，是中华传统文化最具鲜明特色的综合大型性文化产业基地。,13760351536
13502889310
13148736822
21,8a524809639011d40163913e63850041,深圳国家动漫画产业基地,深圳市罗湖区怡景路2008号,国家广电总局授予深圳“国家动画产业基地”和“深圳市动画制作中心”资质。同年由深圳广播电影电视集团组建动漫基地。目前共有68家企业入驻（含26家入驻企业，42家会员企业），其中境内63家，境外5家。其中12家是国家文化部认定的“国家动漫企业”，3家被认定为国家重点文化出口企业，40家被评为“深圳市重点文化企业”。深圳动漫基地坚持以政府指导为导向，以原创为根本，基础服务为核心的园区运作模式。在政府政策和资金的大力扶持下，基地集聚效应、品牌效应得到了进一步的延伸，在实现高价值经济利益的同时，企业完全扭转了动漫产业经济以传统“三来一补”加工为主体的盈利模式，出现了一批有核心竞争力的动漫游戏企业和品牌，形成了以动漫基地为核心的“动漫产业总部经济”园区集聚效应的基地形态。,13590261303
22,8a524809639011d40163913e63850042,OCT—LOFT华侨城创意文化园,深圳市南山区华侨城集团办公楼,OCT-LOFT华侨城创意文化园位于深圳华侨城原东部工业区内，地处华侨城东北部，东邻侨城东路，北靠侨香路，原入驻企业多为上世纪80年代引进的“三来一补”工业企业。园区占地面积约15万平方米，建筑面积约20万平方米，分为南北两区。2004年下半年以来，富有创想精神的华侨城人根据厂房的建筑特点以及政府对文化和创意产业的相关政策指引，创造性地提出将工业区改造为LOFT创意产业园区的想法，通过将旧厂房改造为创意产业的工作室，引进各类型创意产业，如设计、摄影、动漫创作、教育培训、艺术等行业，还有一些有创意特色的相关产业如概念餐厅、酒廊、零售、咖啡等。通过这些改造，使旧厂房的建筑形态和历史痕迹得以保留，同时又衍生出更有朝气更有生命力的产业经济。,13760267663
23,8a524809639011d40163913e63850043,深圳田面设计之都,深圳市福田区深南中路设计之都创意产业园6栋2楼,田面设计之都（以下简称“园区”）是深圳市“文化立市”、建设“设计之都”战略指引下建设的核心载体、是深圳“十二五”建设质量城市、智慧城市核心创新源泉，更是推动深圳设计“走出去”对接世界的直接平台。园区位处深圳CBD核心区，立于城市主干道旁，毗邻中心公园，经由原田面工业区旧厂房改造而成，占地面积1.5万平米，建筑面积5万平米。该项目总体分两期开发建设，先后于2007年5月和2008年12月正式正式开园运营，由目前国内最大的工业设计产业链整合与运营服务商深圳市灵狮文化产业集团有限公司独立投资运营。园区定位为以工业设计为主的创意产业园，旨在打造具有创意设计、研发、制作、交易、展览、交流、培训、孵化、评估及公共服务等综合功能为一体的创意设计类文化产业园区。
,18688707090
24,8a524809639011d40163913e63850044,深圳文化创意产业园,深圳市福田区福强路4001号,位于深圳市福田区新洲路与福强路交汇处的深圳文化创意园，2007年脱胎于沙尾工业区，原名为深圳世纪工艺品文化广场，2011年，更名为深圳文化创意园。占地6万平方米，总建筑面积18.6万平方米，是深圳中心区最大的综合性文化产业集聚区。经过8年的快速发展，已经形成具有独特的资源优势、鲜明的产业特色和良好的发展环境的集文化产业的原创研发、展示、交易及配套服务为一体的高端文化创意园区。  深圳文化创意园坚持“文化+科技”的发展方向，涵盖影视新媒体、创意设计、高端工艺品、文化软件等四大重点领域。目前，已进驻企业三百多家，更吸引了包括易尚展示、众鸿科技、金一文化、研成创意、蝶讯网、长城集团、CUTV、天华传媒、采纳等四十多家知名企业，通过完善物流、公寓、酒店、餐饮、停车场等配套服务，及信息、法律、金融等服务平台建设，园区营造了良好的商业环境，集群效应、产业链效应带来经济效益，开业8年来产值总额超过90亿RMB。目前，园区企业金一文化已成功上市，易尚展示、众鸿科技、采纳品牌3家IOP阶段，拥有“虚拟现实”、“光电测量”、“三维成像”3个院士工作站和“全息显示”1个博士后工作站，是文化产业福田模式的标志性园区。
,13826591717
25,8a524809639011d40163913e63850045,中国（深圳）新媒体广告产业园,深圳市福田区福强路3030号福田体育公园,根据财政部、国家工商总局《关于开展现代服务试点 支持广告发展有关问题的通知》要求，在部分广告基础较好的地区重点支持发展广告业，2012年由福田区政府主导申报的“中国（深圳）新媒体广告产业园”项目试点获得财政部和国家工商总局全国批准，成为全国首家国家级试点广告产业园。中国（深圳）新媒体广告产业园（以下简称新媒体产业园）一期落址深圳福田体育公园，项目占地面积约6.3万平方米，建筑面积5.69万平方米，其中办公面积近3万平方米，地处海滨大道以南、广深高速以东、近主干道深南大道，邻近福田、皇岗口岸，是福田区中心区有核心位置。 园区主要规划筹建了新媒体创新平台、创意俱乐部、信息咨询平台、数据分析平台、内容制作平台、广告发布平台、人力资源公共服务平台、数据通信服务平台、国际会议中心、虚拟演播厅、新闻发布厅等一系列服务新媒体企业的专业配套服务设施。,15989366900
26,8a524809639011d40163913e63850046,吉虹创意设计产业园,福田保税区槟榔道,吉虹创意设计产业园位于深圳市福田保税区槟榔道与桃花路交汇处，占地面积12000㎡，计容建筑面积达22923㎡，实际面积32000㎡，是深圳吉虹电子科技有限公司为响应深圳市、福田区两级政府推进产业转型升级政策，于2008年利用原有旧厂房进行改造升级而成，具备合法、完备的规划建设手续。园区由深圳吉虹电子科技有限公司自主运营，定位于福田区首个以建筑、装饰设计为主要内容的国际化、高端化、专业化的文化产业园区。园区不仅硬件配套设施完善，而且与入驻企业密切互动、共同成长，致力于为文创企业提供更完善的产业链和创新、增值服务，使园区更好地发挥其在创意设计产业中的聚集效应和企业创新能力，以产生更强的孵化作用。,13302980092
27,8a524809639011d40163913e63850047,盐田国际创意港,盐田区沙头角沙深路工业东街工业发展公司综合楼附楼,盐田国际创意港（以下简称创意港）位于深圳市盐田区沙头角，是原田心老工业区产业“腾笼换鸟”、产业转型升级的核心产物，是盐田区政府“新品质、新盐田”战略框架下的重大项目，目前由灵狮文化产业集团有限公司独立投资运营。创意港所在的原田心工业区总占地面积12.15万平方米，建筑面积28.5万平方米，交通四通八达，地处盐田区的门户位置。创意港率先在盐田导入深圳首个“文化+电商”双产业集群，以文化创意和电子商务产业企业为主体，集聚双产业企业80余家，形成盐田区第一个双产业融合创新载体。创意港一期于2013年5月14日开园，首期建筑面积3.5万平米。,13728680175
28,8a524809639011d40163913e63850048,深圳雁盟酒店文化产业园,深圳市宝安75区西乡流塘前进二路四号, 雁盟”以“展示、体验、交易”为定位，依托惠宝隆集团二十多年酒店文化用品研发设计、生产销售的经验，充分整合集团公司在全国的营销网络和行业资源，在深圳“文化立市”的新战略定位下，投资3亿人民币用自有物业兴建起来的中国首家酒店文化产业园。“雁盟酒店文化产业园”以全球化的视野，从不同角度对酒店产业各种资源进行整合与集成，构建以买家、卖家、厂家、专家“四位一体”的运作机制和市场链，形成一条集设计*研发、管理*培训、传媒*服务、产品*采购于一体，覆盖上中下游的产业链的企业联盟，建立起服务全球酒店的架构。从而打造成为全球高端酒店设备用品一站式情景体验采购基地、酒店投资运营人的方案解决者、酒店人才的培训基地、酒店用品的创新基地。,13537666990
29,8a524809639011d40163913e63850049,深圳西部国际珠宝城（宝立方）,深圳市宝安区新安四路198号,深圳西部国际珠宝城位于宝安核心商圈，毗邻规划建设中亚洲最大港口大铲湾，由深圳明金海集团斥巨资打造，总建筑面积10万平方米，一期建筑面积2万平方米，专注于珠宝零售，定位五星级珠宝零售旗舰。一层主营黄金、铂金、钻石、彩宝、珍珠、银饰、K金等，二层主营翡翠，力图打造深圳高规模翡翠主题购物场所。,13927459719  13424341654
30,8a524809639011d40163913e6385004a,宝安艺术城,深圳市宝安区二十五区创业二路17-20栋一楼,宝安艺术城是宝安区2010年文化产业重点项目，是在深圳市“文化立市”和“创意城市”建设的发展目标的背景下，由深圳市德明发实业由限公司投资建设。项目总投资8000多万元，利用宝安商业中心25区现有的两栋五层、一栋六层的楼房改造建设，首期总面积约16000平方米。项目位于深圳市宝安区cbd中心地段，商业文化气氛浓郁，交通快捷便利，距离地铁五号灵芝站约50米，广深高速、107国道近在咫尺，机场、港口、深圳湾口岸均在15分钟车程以内。项目建成后，将有300多家文化艺术机构进驻，辐射深圳、港澳及周边区域的3000多万强势消费主力，年交易量达五亿元人民币以上，形成泛珠三角及港澳台地区文化艺术品新的消费热点！,13714631822
31,8a524809639011d40163913e6385004b,深圳市文化潮汕博览园,深圳市宝安区西乡大道宝源工业区1-2栋, ,13714963110
32,8a524809639011d40163913e6385004c,深圳动漫园,深圳市南山区南海大道粤海路,深圳动漫园是在响应国家和市政府大力推动文化产业发展的政策及南山区政府对南油工业区改造政策的号召下而建立的文化产业园区，由润杨集团（深圳）有限公司投资1.2亿元人民币而精心打造的集文化企业孵化、产品设计制作、产业人才培养、产业投融资和国际人才、资金和技术合作等多功能文化产业发展平台。是由润杨集团（深圳）有限公司投资改造而成，总建筑面积5.2万平方米，由五栋7层的现代化写字楼构成。,15920066380
33,8a524809639011d40163913e6385004d,南海意库,深圳市南山区蛇口兴华路六号,南海意库园区位于南山区蛇口兴华路，由深圳招商商置投资有限公司改造、运营，前身是上个世纪八十年代初期的六栋四层工业厂房“三洋厂房”，是改革开放最早的“三来一补”厂房之一。园区占地面积4.5万平米，改造后总建筑面积约12万平米， 2008年5月正式开园。园区评为第三、第四届文博会分会场，实现了从“制造”到“智造”的飞跃。园内聚集了120多家设计、文化类企业，60家创意零售和特色餐饮。年总产值60多亿元，实现税收5.9亿元。,13377555268
34,8a524809639011d40163913e6385004e,蛇口网谷,深圳市南山区蛇口南海大道1057号科技大厦,1、价值工厂：价值工厂的前身是深圳第一家玻璃厂——广东浮法玻璃厂，2013年，深港城市、建筑双城双年展分会场选址浮法玻璃厂。2015年12月28日，蛇口价值工厂开园。价值工厂占地面积5万平方米，项目包括对工业遗址进行保护性改造及新建两部分，保留原玻璃厂的原貌作为历史纪念。
蛇口价值工厂开园后，成了深圳文艺青年约会胜地。按照规划，价值工厂未来将继续在工业遗址上进行保护性改造及新建，将打造以“艺术+科技”为主，作用于先进制造业的创新型创意产业园。
2、潮人码头新媒体产业园：潮人码头--产业聚焦于文化创意产业群中最具有爆炸性成长的新媒体文化内容产业。紧扣“潮”文化主线，充分利用海湾资源，使之成为蛇口海上门户及太子湾的新名片。同时兼顾文化创意及特色餐饮、文化休闲娱乐的互动，将区域发展成为集办公、SOHO、配套服务商业、公共技术平台及文化休闲娱乐等功能于一体的新型滨海文化及休闲项目，为创意人群提供自我配套完善的，躲避城市喧嚣的创新乐园。
,13377555268
35,8a524809639011d40163913e6385004f,深圳（南山）互联网产业园,南山区东滨路东京光海景花园大厦, ,15889672960
36,8a524809639011d40163913e63850050,深圳设计产业园,南山区南山大道3838号,深圳设计产业园地处交通便利的南山大道，建筑面积26000平方米，由“金、水、木、火、土”五栋大楼以及展览厅、设计师星光大道、多功能会议厅等共同组成，拥有完善齐备的功能定位和硬件设施。目前已有深圳乃至全球近50家优秀工业设 计公司入驻园区，相互所形成的集群效应，并日渐成为工业设计创意萌生和实践的乐土，成为深圳工业设计产业再创新绩的林地。园区将搭建包含创意产品（项目）孵化基地、人才培训基地、资讯发布中心、创新电子产品交易中心和知识产权交易中心的公共服务平台，最终形成一个以吸引、集聚、培育、孵化创意设计（项目）为核心，制造企业集聚为基础，销售渠道多元化的集成系统的完善产业链，促进深圳市的整体产业优化与升级。,13924636211
37,8a524809639011d40163913e63850051,南山互联网创新创意服务基地,一期位于 南山区蛇口公园南路联合工业区G栋，二期位于南山区蛇口湾厦路126号, ,15220068608
38,8a524809639011d40163913e63850052,T6艺术区,南山区西丽同发路6号官龙名苑,深圳T6艺术区，一期建筑面积1.35万平方米，其中涵盖了1500余平米的艺术馆，800余平米的艺术超市，6300余平米的艺术家工作室以及4000余平米的商业经营面积；为艺术家提供了居住、创作、办公的全套硬件支持，同时将聚集更多的精英人群在此生活及消费。商业经营部分将汇集艺术周边产品购买、餐饮、娱乐、休闲等多元化主题为一体；同时在交通上连通地铁五号线沿线、大学城、官龙社区、深职院等多个高校及社区，为该区域的消费及购买能力提供保障。T6艺术区将采用准入制的形式引入更多的顶级消费品牌及艺术展厅、画廊、主题餐饮、咖啡厅、酒吧、私人会所等高档消费场所，成为一道独具风情的城市人文景观，成为进一步挖掘并提升此地区的内在价值、向全社会推广艺术与地区振兴的新动力。T6的操作将更注重公共性，不仅强调艺术的专业性价值，也将结合休闲与生活，营造全新的艺术生活区品牌。
,15220068608
39,8a524809639011d40163913e63850053,深圳大学城创意园,南山区西丽街道西丽湖路4227号,深圳大学城创意园，位于深圳市南山区西丽路4227号，园区一期三栋，近2万平米。是由深圳市南山区政府倡导设立，由深圳大学城创意园投资管理有限公司运营的配套齐全、功能完善的园林式新兴科技文化创意产业园区。提供主要服务员：深圳大学城创意园联合政府、投资机构、高等院校、服务联盟倾力打造面向大学生的“文化创意、科技创新、智慧创业”的公共服务平台“圆梦智慧港”，开启”创客‘服务平台，探索“找市场、找资本”的新模式，覆盖政策咨询、投融资服务、财税法律、认证服务、管理咨询、市场分析、信用服务、人才服务等公共服务领域。,13424267635
40,8a524809639011d40163913e63850054,世外桃园创意园,广东省深圳市南山区留仙大道平山村一区1-29号, ,15220068608
41,8a524809639011d40163913e63850055,百旺创意工厂,广东省深圳市南山区松白路1051号, ,18124155685
42,8a524809639011d40163913e63850056,深圳市雪仙丽文化创意产业园,光明新区马田街道田园路内衣基地, ,18688957504
43,8a524809639011d40163913e63850057,深圳宝福珠宝文化创意产业园,龙岗区南湾街道布澜路33号宝福李朗珠宝文化产业园,深圳市宝福李朗珠宝文化产业园位于深圳市龙岗区南湾（原布吉镇）水官高速与李朗大道（布澜路）交汇处。 是深圳市政府和龙岗区政府重点支持的产业项目。深圳宝福李朗珠宝文化产业园规模巨大，总占地面积约38125m2 。总建筑面积12490m2, 绿化率达40% ，停车位300个，其整体规划和单体设计都是按照国际一流珠宝产业平台进行规划和设计，功能明确、完善，建筑风格充分体现行业主题，集环保型、现代型理念于一体，符合产业发展和循环经济的需要。项目内规划有工业厂房、办公楼、五星级宝亨达国际大酒店、商业大厦及配套设施（包括宴会厅、多功能厅、会议室、珠宝零售展厅、员工食堂、宿舍、员工活动中心及可提供1000-1800人用餐服务等）。,13794450738
44,8a524809639011d40163913e63850058,三联水晶玉石文化村,深圳市龙岗区吉华街道三联社区和沙坑居民小组,三联水晶玉石文化村位于深圳市龙岗区布吉街道三联社区，已经有十多年的发展历。已经形成了完整的毛料供应、成品加工、运输销售为一体的水晶玉石产业链。加工经营的品种上主要有天然翡翠、水晶、黄金、各类宝石等类型。目前拥有加工作坊及销售门店共500多家，连续五届被评为文博会分会场，三联的发展快、变化大，产业配套和基础设施建设得到快速发展。优越的管理模式及环境吸引了大量的投资商落户三联，其中有香港、台湾等大型的玉石加工厂进驻，在珠江三角洲具有一定的产业竞争力。三联水晶玉石文化村将打造成为全国著名的水晶玉石文化产业产品交易中心和毛料集散地，形成集“设计加工、贸易交流、文化旅游”为一体的新型文化产业基地。,13632599165
45,8a524809639011d40163913e63850059,深圳市文博宫,深圳市龙岗区布吉镇西环路88号,深圳文博宫位于广东省深圳市龙岗区布吉西环路88号，是南中国最大的仿古集群式建筑群。作为目前国内单项面积最大的古玩珠宝艺术品交易中心，文博宫的经营范围与形式都紧扣深圳市文化创意产业这个中心主题，以古玩珠宝、玉器、陶瓷、书画、家具、铜器、杂项及工艺品和艺术品等为经营业态，以高端化、精品化、国际化为经营策略，打造集展销、鉴定和拍卖为一体的国际性古玩艺术品交易平台，建构集工艺制作、艺术沙龙、创作体验、展示交易、休闲旅游为一体的综合性文化产业链。文博宫作为党中央扶持项目——文化产业，在深圳一直受到各级政府鼎力支持。其涵盖“文化+科技”、“文化+旅游”和“文化+金融”的文化创意新模式，无成为深圳文化创意产业园的又一新生力量。,15919867189
46,8a524809639011d40163913e6385005a,182创意设计产业园,深圳市龙岗区布澜路182号,182创意设计产业园位于深圳市龙岗区南湾街道布澜路182号，总投资8.6亿元人民币，占地面积近3万平方米，规划总建筑面积近15万平方米。182设计园是深圳市市级文化创意产业园区、龙岗区“创新产业系列园区”首批启动园区，已连续二届成为文博会分会场。园区已进驻近90家设计企业。园区主要涉及私人用品设计、空间设计、平面设计、工业设计、服装设计等开发、设计、制版、检验检测。园区汇集设计师工作室、画廊、艺术展示空间、艺术家工作室、创意产品展厅等多种功能场所于一体，通过定期举办知名设计师与设计家沙龙，建立国内外高端消费品的设计交流平台，形成区域性高端产业集群。,18038099550
47,8a524809639011d40163913e6385005b,力嘉创意文化产业园,龙岗区横岗街道力嘉路109号,力嘉创意文化产业园位于享有“中国乡镇之星”美誉的深圳龙岗区横岗街道，环境优雅舒适。远眺逶迤含黛的梧桐山脉，近绕碧绿如洗的观音山，塘坑水库一衣带水，菩萨端坐超然普度，一排浑然天成的人文气息和自然写意跃然而至。园区一期占地面积1万多平方米，建筑面积约3万平方米，总投资8000万元，设有印刷历史文化博物馆、中华古今书画馆、创意文化广场、高级书画展销中心、数码创印中心和两岸四地印刷社团交流中心等功能区域。园区二期将利用力嘉工业城自有12万平方米土地进行改造，完善扩充一期的各项功能，发展成为印刷科研、创意设计、行业交流、文化旅游、科普教育及爱国主义教育基地。,13570869904
